Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1710878520.816423,1031,0,1
1,NewOrder,1710878520.817463,2241,0,1
1,NewOrder,1710878520.819715,2993,0,1
1,NewOrder,1710878520.822721,2884,0,1
2,Payment,1710878520.825616,867,0,1
5,StockLevel,1710878520.826492,1412,0,1
2,Payment,1710878520.827912,896,0,1
1,NewOrder,1710878520.828817,2791,0,1
1,NewOrder,1710878520.831619,3816,0,1
2,Payment,1710878520.835449,1041,0,1
2,Payment,1710878520.836500,973,0,1
1,NewOrder,1710878520.837484,3553,0,1
2,Payment,1710878520.841052,976,0,1
1,NewOrder,1710878520.842041,3125,0,1
1,NewOrder,1710878520.845179,3570,0,1
1,NewOrder,1710878520.848761,3451,0,1
2,Payment,1710878520.852226,1001,0,1
1,NewOrder,1710878520.853237,2477,0,1
1,NewOrder,1710878520.855730,2317,0,1
1,NewOrder,1710878520.858060,3176,0,1
4,Delivery,1710878520.861249,7666,0,1
3,OrderStatus,1710878520.868930,607,0,1
2,Payment,1710878520.869545,865,0,1
2,Payment,1710878520.870418,795,0,1
5,StockLevel,1710878520.871220,1130,0,1
3,OrderStatus,1710878520.872357,491,0,1
1,NewOrder,1710878520.872881,3074,0,1
1,NewOrder,1710878520.876001,2203,0,1
2,Payment,1710878520.878215,918,0,1
1,NewOrder,1710878520.879143,2603,0,1
1,NewOrder,1710878520.881756,3160,0,1
2,Payment,1710878520.884929,1139,0,1
1,NewOrder,1710878520.886076,2961,0,1
1,NewOrder,1710878520.889051,3353,0,1
4,Delivery,1710878520.892416,7036,0,1
1,NewOrder,1710878520.899468,2674,0,1
1,NewOrder,1710878520.902155,3591,0,1
1,NewOrder,1710878520.905759,4217,0,1
2,Payment,1710878520.909992,1089,0,1
1,NewOrder,1710878520.911094,3110,0,1
4,Delivery,1710878520.914253,7023,0,1
2,Payment,1710878520.921290,1029,0,1
2,Payment,1710878520.922329,944,0,1
1,NewOrder,1710878520.923280,3022,0,1
1,NewOrder,1710878520.926313,3527,0,1
1,NewOrder,1710878520.929852,2652,0,1
2,Payment,1710878520.932513,1010,0,1
1,NewOrder,1710878520.933531,3570,0,1
1,NewOrder,1710878520.937114,3268,0,1
1,NewOrder,1710878520.940393,1733,0,1
2,Payment,1710878520.942134,853,0,1
1,NewOrder,1710878520.942993,2304,0,1
1,NewOrder,1710878520.945310,3760,0,1
2,Payment,1710878520.949083,966,0,1
2,Payment,1710878520.950059,1068,0,1
2,Payment,1710878520.951137,996,0,1
1,NewOrder,1710878520.952141,2987,0,1
2,Payment,1710878520.955140,982,0,1
2,Payment,1710878520.956130,926,0,1
2,Payment,1710878520.957063,902,0,1
2,Payment,1710878520.957973,913,0,1
2,Payment,1710878520.958894,936,0,1
2,Payment,1710878520.959838,883,0,1
2,Payment,1710878520.960728,873,0,1
2,Payment,1710878520.961608,885,0,1
2,Payment,1710878520.962501,792,0,1
2,Payment,1710878520.963300,927,0,1
1,NewOrder,1710878520.964235,3003,0,1
2,Payment,1710878520.967248,1049,0,1
1,NewOrder,1710878520.968307,3810,0,1
2,Payment,1710878520.972130,887,0,1
1,NewOrder,1710878520.973025,2827,0,1
2,Payment,1710878520.975862,862,0,1
1,NewOrder,1710878520.976732,1902,0,1
1,NewOrder,1710878520.978644,2194,0,1
1,NewOrder,1710878520.980849,2251,0,1
2,Payment,1710878520.983111,1017,0,1
2,Payment,1710878520.984137,961,0,1
1,NewOrder,1710878520.985106,2390,0,1
2,Payment,1710878520.987506,1276,0,1
2,Payment,1710878520.988792,804,0,1
2,Payment,1710878520.989603,1000,0,1
2,Payment,1710878520.990610,824,0,1
2,Payment,1710878520.991442,878,0,1
2,Payment,1710878520.992328,774,0,1
2,Payment,1710878520.993108,725,0,1
2,Payment,1710878520.993839,777,0,1
1,NewOrder,1710878520.994623,2290,0,1
2,Payment,1710878520.996921,801,0,1
2,Payment,1710878520.997729,797,0,1
2,Payment,1710878520.998533,847,0,1
1,NewOrder,1710878520.999388,3153,0,1
2,Payment,1710878521.002554,888,0,1
1,NewOrder,1710878521.003449,3657,0,1
1,NewOrder,1710878521.007118,2328,0,1
1,NewOrder,1710878521.009456,2966,0,1
5,StockLevel,1710878521.012433,1148,0,1
2,Payment,1710878521.013588,887,0,1
1,NewOrder,1710878521.014483,2044,0,1
1,NewOrder,1710878521.016537,2541,0,1
2,Payment,1710878521.019087,1222,0,1
5,StockLevel,1710878521.020316,1677,0,1
1,NewOrder,1710878521.021999,4154,0,1
2,Payment,1710878521.026163,1509,0,1
1,NewOrder,1710878521.027678,5668,0,1
2,Payment,1710878521.033366,888,0,1
5,StockLevel,1710878521.034261,1074,0,1
1,NewOrder,1710878521.035342,3353,0,1
1,NewOrder,1710878521.038706,3218,0,1
1,NewOrder,1710878521.041932,2162,0,1
1,NewOrder,1710878521.044102,2028,0,1
2,Payment,1710878521.046140,983,0,1
1,NewOrder,1710878521.047130,4004,0,1
3,OrderStatus,1710878521.051149,807,0,1
2,Payment,1710878521.051966,927,0,1
4,Delivery,1710878521.052902,7895,0,1
1,NewOrder,1710878521.060810,2804,0,1
1,NewOrder,1710878521.063624,2833,0,1
1,NewOrder,1710878521.066472,3926,0,1
1,NewOrder,1710878521.070409,2323,0,1
1,NewOrder,1710878521.072742,2739,0,1
2,Payment,1710878521.075492,1459,0,1
1,NewOrder,1710878521.076965,2664,0,1
2,Payment,1710878521.079641,943,0,1
2,Payment,1710878521.080591,800,0,1
1,NewOrder,1710878521.081398,2477,0,1
1,NewOrder,1710878521.083885,3362,0,1
2,Payment,1710878521.087257,979,0,1
2,Payment,1710878521.088245,946,0,1
1,NewOrder,1710878521.089198,2234,0,1
1,NewOrder,1710878521.091442,3739,0,1
2,Payment,1710878521.095192,1024,0,1
1,NewOrder,1710878521.096224,3354,0,1
2,Payment,1710878521.099588,832,0,1
2,Payment,1710878521.100427,923,0,1
1,NewOrder,1710878521.101359,3287,0,1
2,Payment,1710878521.104655,850,0,1
2,Payment,1710878521.105513,852,0,1
1,NewOrder,1710878521.106371,3560,0,1
